COMPLEXID,SEGMENTID,the_geom,SAFTYPE,SOS,PLACEID,FACI_DOM,BIN,BOROUGH,CREATED,MODIFIED,FACILITY_T,SOURCE,B7SC,PRI_ADD,NAME
334,9002618,-73.91888103687158 40.66442994836989,X,1,1017247,3,3081227,3,12/06/2012 12:00:00 AM +0000,01/18/2013 12:00:00 AM +0000,1,OTHER,30001502,3108329,TAPSCOTT ST REHAB BLDG 1
334,9006150,-73.91922428601205 40.66401053984801,X,2,1017248,3,3081484,3,12/06/2012 12:00:00 AM +0000,01/18/2013 12:00:00 AM +0000,1,OTHER,30001503,3108734,TAPSCOTT STREET REHAB BUILDING 2
334,9002619,-73.91950838680036 40.66333536687212,X,1,1017252,3,3081483,3,12/06/2012 12:00:00 AM +0000,01/18/2013 12:00:00 AM +0000,1,OTHER,30001505,3108732,TAPSCOTT ST REHAB BLDG 4
334,9002626,-73.91946735574703 40.6630786571759,X,1,1017253,3,3081482,3,12/06/2012 12:00:00 AM +0000,01/18/2013 12:00:00 AM +0000,1,OTHER,30001507,3108731,TAPSCOTT ST REHAB BLDG 6
334,9002642,-73.919445613796 40.662870189116404,X,1,1017254,3,3081481,3,12/06/2012 12:00:00 AM +0000,01/18/2013 12:00:00 AM +0000,1,OTHER,30001509,3320760,TAPSCOTT STREET REHAB BUILDING 8
261,219508,-73.7854942107481 40.595560885928705,X,2,13657,3,4436451,4,05/14/2009 12:00:00 AM +0000,01/18/2013 12:00:00 AM +0000,1,DCP,41013517,337483,EDGEMERE PROJECTS BUILDING 16
262,57736,-73.7855808084901 40.593598266751805,,2,15318,2,4436422,4,05/14/2009 12:00:00 AM +0000,01/18/2013 12:00:00 AM +0000,5,DoITT,,5135590,DOLORES S MATTOX CHILD CARE CENTER
261,57773,-73.78335297716009 40.595741014393354,X,2,17640,3,4436441,4,05/14/2009 12:00:00 AM +0000,01/18/2013 12:00:00 AM +0000,1,DCP,41013514,337471,OCEAN BAY-BAYSIDE BUILDING 13
349,9000473,-73.89803491643859 40.66716989796443,X,1,1017286,3,3336125,3,12/07/2012 12:00:00 AM +0000,01/18/2013 12:00:00 AM +0000,1,OTHER,30004604,3113863,UNITY PLAZA SITES 4-27 BUILDING 3
261,219523,-73.78397168364505 40.595699612700116,X,2,7951,3,4436438,4,05/14/2009 12:00:00 AM +0000,01/18/2013 12:00:00 AM +0000,1,DCP,41013515,337468,OCEAN BAY-BAYSIDE BUILDING 14
261,57743,-73.78664558858523 40.59548003732526,X,2,6968,3,4436453,4,05/14/2009 12:00:00 AM +0000,01/18/2013 12:00:00 AM +0000,1,DCP,41013519,337485,OCEAN BAY-BAYSIDE BUILDING 18
261,57777,-73.78242619254856 40.59752869615031,X,1,6951,3,4436442,4,05/14/2009 12:00:00 AM +0000,01/18/2013 12:00:00 AM +0000,1,DCP,41013511,337472,EDGEMERE PROJECTS BUILDING 10
262,57761,-73.78479780529321 40.59423066740467,X,1,8679,3,4436421,4,05/14/2009 12:00:00 AM +0000,01/18/2013 12:00:00 AM +0000,1,DCP,41010506,336673,ARVERNE PROJECTS BUILDING 5
212,9000105,-73.8303057931324 40.765873401822326,,2,5643,6,4443410,4,05/14/2009 12:00:00 AM +0000,01/18/2013 12:00:00 AM +0000,5,EMS,,125081,LATIMER GARDENS COMMUNITY CENTER
261,57742,-73.7872334922822 40.59543833371428,X,2,13982,3,4436454,4,05/14/2009 12:00:00 AM +0000,01/18/2013 12:00:00 AM +0000,1,DCP,41013520,337486,OCEAN BAY-BAYSIDE BUILDING 19
262,219508,-73.78529429206588 40.59477776330805,X,1,13984,3,4436424,4,05/14/2009 12:00:00 AM +0000,01/18/2013 12:00:00 AM +0000,1,DCP,41010505,336676,ARVERNE HOUSES BUILDING 4
261,9008723,-73.78680820131966 40.59725002461466,X,1,17160,3,4436445,4,05/14/2009 12:00:00 AM +0000,01/18/2013 12:00:00 AM +0000,1,DCP,41013504,337477,OCEAN BAY BAYSIDE BLDG 3
261,219509,-73.7860602721241 40.59554921292793,X,2,14708,3,4436452,4,05/14/2009 12:00:00 AM +0000,01/18/2013 12:00:00 AM +0000,1,DCP,41013518,337484,OCEAN BAY BAYSIDE BLDG 17
262,57736,-73.7857917867526 40.59284463363104,X,2,7821,3,4436426,4,05/14/2009 12:00:00 AM +0000,01/18/2013 12:00:00 AM +0000,1,DCP,41010502,336677,OCEAN BAY OCEANSIDE BLDG 1
262,57761,-73.78487175733048 40.59361244204118,X,1,8570,3,4436420,4,05/14/2009 12:00:00 AM +0000,01/18/2013 12:00:00 AM +0000,1,DCP,41010507,336672,ARVERNE PROJECTS BUILDING 6
261,57777,-73.784083748875 40.59740953093306,X,1,6605,3,4436435,4,05/14/2009 12:00:00 AM +0000,01/18/2013 12:00:00 AM +0000,1,DCP,41013508,337465,OCEAN BAY-BAYSIDE BUILDING 7
261,219448,-73.78782513801184 40.59537664503191,X,2,13827,3,4436449,4,05/14/2009 12:00:00 AM +0000,01/18/2013 12:00:00 AM +0000,1,DCP,41013521,337481,EDGEMERE HOUSES BUILDING 20
261,57773,-73.78279699231508 40.59576487888502,X,2,8739,3,4436440,4,05/14/2009 12:00:00 AM +0000,01/18/2013 12:00:00 AM +0000,1,DCP,41013513,337470,OCEAN BAY-BAYSIDE BUILDING 12
261,9008721,-73.78629342869866 40.59728555627577,X,1,13346,3,4436444,4,05/14/2009 12:00:00 AM +0000,01/18/2013 12:00:00 AM +0000,1,DCP,41013505,337476,EDGEMERE PROJECTS BUILDING 4
274,9007482,-73.81339238397844 40.73410062231328,X,1,13867,3,4455433,4,05/14/2009 12:00:00 AM +0000,01/22/2013 12:00:00 AM +0000,1,DCP,41014513,161257,POMONOK HOUSES BUILDING 12
274,9007719,-73.81181062924638 40.73184193915277,X,2,8752,3,4451591,4,05/14/2009 12:00:00 AM +0000,01/22/2013 12:00:00 AM +0000,1,DCP,41014527,161232,POMONOK PROJECTS BUILDING 26
274,225731,-73.81205279098035 40.73416588202703,X,2,17330,3,4455423,4,05/14/2009 12:00:00 AM +0000,01/22/2013 12:00:00 AM +0000,1,DCP,41014515,161247,POMONOK PROJECTS BUILDING 14
